gene_symbol	mechanism	basis	confidence	detail
E2F1	LoF	gnomad	medium	LoF-intolerant (pLI=0.9877, LOEUF=0.225)
E2F3	LoF	gnomad	medium	LoF-intolerant (pLI=0.9458, LOEUF=0.349)
E2F5	LoF	gnomad	medium	LoF-intolerant (pLI=0.935, LOEUF=0.362)
E2F7	LoF	gnomad	medium	LoF-intolerant (pLI=0.99317, LOEUF=0.285)
EBF1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99697, LOEUF=0.256)
EBF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99976, LOEUF=0.193)
EBF3	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
EBP	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
ECE1	LoF	gnomad	medium	LoF-intolerant (pLI=0.95987, LOEUF=0.321)
EDA	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
EDNRA	LoF	gnomad	medium	LoF-intolerant (pLI=0.99158, LOEUF=0.254)
EEA1	LoF	gnomad	medium	LoF-intolerant (pLI=0.92875, LOEUF=0.304)
EED	LoF	gnomad	medium	LoF-intolerant (pLI=0.99929, LOEUF=0.187)
EEF1A1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97863, LOEUF=0.293)
EEF1A2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99558, LOEUF=0.186)
EEF1G	LoF	gnomad	medium	LoF-intolerant (pLI=0.99967, LOEUF=0.173)
EEF2	LoF	gnomad	medium	LoF-intolerant (pLI=0.99995, LOEUF=0.172)
EFEMP1	LoF	gnomad	medium	LoF-intolerant (pLI=0.99992, LOEUF=0.153)
EFHC2	LoF	gnomad	medium	LoF-intolerant (pLI=0.9991, LOEUF=0.147)
EFNA5	LoF	gnomad	medium	LoF-intolerant (pLI=0.96051, LOEUF=0.296)
EFNB1	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
EFNB2	LoF	gnomad	medium	LoF-intolerant (pLI=0.98845, LOEUF=0.222)
EFTUD2	LoF	clingen	high	ClinGen haploinsufficiency=3 (sufficient)
EGFR	LoF	gnomad	medium	LoF-intolerant (pLI=0.36837, LOEUF=0.349)
EGLN1	LoF	gnomad	medium	LoF-intolerant (pLI=0.97403, LOEUF=0.303)
EGR3	LoF	gnomad	medium	LoF-intolerant (pLI=0.95288, LOEUF=0.312)
